time flux flux_err
1528.8894419510 nan nan
1528.9102755699 nan nan
1528.9311091865 nan nan
1528.9519428012 nan nan
1528.9727764135 nan nan
1528.9936100238 nan nan
1529.0144436318 nan nan
1529.0352772377 nan nan
1529.0561108412 nan nan
1536.8270629406 nan nan
1536.8478965148 nan nan
1536.8687300884 nan nan
1536.8895636612 nan nan
1536.9103972333 nan nan
1536.9312308047 nan nan
1536.9520643754 nan nan
1536.9728979454 nan nan
1536.9937315147 nan nan
1537.0145650832 nan nan
1537.0353986511 nan nan
1537.0562322183 nan nan
1537.0770657847 nan nan
1537.0978993505 nan nan
1537.1187329155 nan nan
1537.1395664798 0.9989171390 0.0008166591
1537.1604000434 1.0005466221 0.0008166553
1537.1812336063 0.9995052467 0.0008166635
1537.2020671684 1.0015132336 0.0008166670
1537.2229007299 0.9992402406 0.0008166722
1537.2437342906 1.0007266919 0.0008166868
1537.2645678506 1.0001520195 0.0008166903
1537.2854014099 1.0003410944 0.0008166991
1537.3062349684 0.9996629256 0.0008166969
1537.3270685263 1.0001990677 0.0008167001
1537.3479020834 0.9984304764 0.0008167102
1537.3687356398 0.9985619747 0.0008167066
1537.3895691955 1.0003234823 0.0008167192
1537.4104027504 0.9992207831 0.0008167216
1537.4312363046 0.9993883063 0.0008167322
1537.4520698581 0.9995442844 0.0008167399
1537.4729034108 0.9997451020 0.0008167354
1537.4937369629 0.9994121715 0.0008167245
1537.5145705142 1.0003889265 0.0008167196
1537.5354040647 1.0001407233 0.0008167199
1537.5562376145 0.9994636642 0.0008167249
1537.5770711636 0.9993260676 0.0008167143
1537.5979047120 1.0011791882 0.0008167224
1537.6187382596 1.0001828884 0.0008167328
1537.6395718064 0.9997714641 0.0008167390
1537.6604053526 1.0003258140 0.0008167275
1537.6812388979 1.0006781673 0.0008167153
1537.7020724426 1.0007994320 0.0008167053
1537.7229059865 1.0005967069 0.0008167141
1537.7437395297 1.0004380081 0.0008167130
1537.7645730721 0.9998760534 0.0008167053
1537.7854066137 1.0002779369 0.0008167064
1537.8062401546 1.0009925588 0.0008167107
1537.8270736948 1.0003622060 0.0008167106
1537.8479072342 1.0002628760 0.0008167135
1537.8687407729 1.0000172571 0.0008167037
1537.8895743108 1.0000829621 0.0008166892
1537.9104078479 0.9996844615 0.0008167081
1537.9312413843 1.0014472274 0.0008167064
1537.9520749200 0.9999268641 0.0008167009
1537.9729084548 1.0001423876 0.0008167062
1537.9937419890 0.9990391923 0.0008167001
1538.0145755223 0.9989990457 0.0008167089
1538.0354090549 0.9999718563 0.0008167097
